estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1443,2025-07-16 18:45:13,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
164,2025-07-16 21:14:13,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
567,2025-07-16 21:43:54,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1291,2025-07-16 21:21:57,2400,2o,0,3,5,2,3,3,3,4,2,1,3,2,2,3,2,2
573,2025-07-16 19:28:23,2400,2o,0,3,5,2,3,3,3,4,1,1,3,2,3,3,2,2
673,2025-07-16 20:55:53,2400,2o,0,3,5,2,1,1,3,4,2,1,5,2,3,3,2,2
595,2025-07-16 21:42:32,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1350,2025-07-17 06:56:06,2400,2o,0,3,5,2,3,3,3,5,2,1,3,2,3,3,2,2
1635,2025-07-16 10:19:04,2600,2o,0,3,5,2,3,5,5,4,2,1,3,2,3,3,2,2
478,2025-07-16 22:05:23,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
441,2025-07-16 20:39:41,2000,2o,0,3,5,2,3,1,3,2,3,3,3,2,3,3,2,2
694,2025-07-16 23:20:21,2400,2o,0,3,5,3,3,5,3,4,4,1,3,2,3,3,2,2
53,2025-07-16 08:59:10,2600,2o,0,3,5,2,3,2,3,4,2,1,3,2,3,3,2,2
752,2025-07-16 15:52:07,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
305,2025-07-16 12:11:12,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
727,2025-07-16 14:50:21,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
796,2025-07-16 21:37:16,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
353,2025-07-16 15:45:32,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
350,2025-07-16 15:52:40,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
610,2025-07-16 13:06:24,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1552,2025-07-16 14:50:06,2600,2p,0,4,5,2,3,5,3,4,2,1,3,2,3,3,2,2
932,2025-07-16 14:50:03,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1440,2025-07-16 20:05:27,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1385,2025-07-16 20:07:01,2600,2p,0,3,5,3,3,5,3,4,2,1,3,2,3,3,2,2
859,2025-07-16 20:15:48,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
230,2025-07-16 19:48:12,1800,2p,0,3,2,4,3,1,3,4,4,1,3,2,3,3,4,2
314,2025-07-16 23:55:31,2200,2p,0,3,4,3,3,2,3,4,2,1,3,2,3,3,2,2
1643,2025-07-16 20:57:25,2600,2p,0,3,5,2,3,1,3,4,2,1,3,2,3,3,2,2
604,2025-07-16 20:41:46,1800,2p,0,3,2,4,3,3,3,4,5,2,3,2,3,3,2,2
517,2025-07-16 13:59:35,2800,2p,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
